Tm,Rankings2022,R2022,LOB2022,BAbipA2022,FIP2022,Payroll2022,FIP2021,allTimeAS2021
San Francisco Giants,16,690,1129,0.281,3.9,78285000,4.26,7
Los Angeles Dodgers,1,847,1159,0.256,3.45,289311999,3.54,20
Tampa Bay Rays,13,666,1074,0.279,3.68,73004211,3.79,10
Houston Astros,2,737,1068,0.269,3.28,164789600,4.12,13
Milwaukee Brewers,12,725,1102,0.281,3.92,128421127,3.72,14
Chicago White Sox,15,686,1117,0.296,3.81,163958334,3.74,10
New York Yankees,5,807,1093,0.269,3.56,238950714,3.9,17
Boston Red Sox,18,735,1133,0.304,4.17,191920000,3.95,9
Toronto Blue Jays,8,775,1111,0.297,3.85,165705857,4.18,18
St. Louis Cardinals,6,772,1132,0.288,3.94,156814666,4.3,13
Seattle Mariners,9,716,1115,0.312,3.43,134929667,3.55,13
Atlanta Braves,3,789,1030,0.286,3.46,171075000,4.09,18
Oakland Athletics,29,568,969,0.29,4.41,50248334,4.1,11
Cincinnati Reds,28,648,1020,0.299,4.59,111882381,4.34,11
Philadelphia Phillies,11,747,1075,0.303,3.6,209488461,4.15,12
Cleveland Guardians,7,698,1156,0.275,3.75,65960000,4.43,5
San Diego Padres,10,705,1174,0.283,3.82,171434158,4.18,12
New York Mets,4,772,1158,0.299,3.5,237473333,4.03,14
Los Angeles Angels,21,623,1050,0.277,3.96,177063095,4.25,12
Detroit Tigers,25,557,1015,0.285,4.16,117240000,4.6,7
Colorado Rockies,24,698,1113,0.313,4.38,112605000,4.47,4
Kansas City Royals,26,640,1091,0.314,4.42,94410000,4.39,8
Minnesota Twins,17,696,1126,0.286,4.03,110792857,4.66,11
Chicago Cubs,19,657,1100,0.287,4.33,131085000,4.88,10
Miami Marlins,22,586,1045,0.296,3.9,68200000,4.01,9
Washington Nationals,30,603,1099,0.298,4.98,125051666,4.87,17
Pittsburgh Pirates,27,591,1016,0.305,4.27,37925000,4.74,8
Texas Rangers,23,707,1007,0.293,4.17,120176667,4.76,7
Baltimore Orioles,14,674,1095,0.297,4.03,48000000,5.15,4
Arizona Diamondbacks,20,702,1039,0.283,4.33,78860000,4.88,9
